SKU,外观,颜色,规格,正反面,SVG文件名
B-G01A,Heart,Silver,L,Front,B-G01A_Heart_Silver - L-F.svg
B-G01A,Heart,Silver,L,Back,B-G01A_Heart_Silver - L-B.svg
B-G01B,Heart,Gold,L,Front,B-G01B_Heart_Gold - L-F.svg
B-G01B,Heart,Gold,L,Back,B-G01B_Heart_Gold - L-B.svg
B-G01C,Heart,RoseGold,L,Front,B-G01C_Heart_RoseGold - L-F.svg
B-G01C,Heart,RoseGold,L,Back,B-G01C_Heart_RoseGold - L-B.svg
B-G01D,Heart,Black,L,Front,B-G01D_Heart_Black - L-F.svg
B-G01D,Heart,Black,L,Back,B-G01D_Heart_Black - L-B.svg
B-E01A,Bone,Silver,L,Front,B-E01A_Bone_Silver - L-F.svg
B-E01A,Bone,Silver,L,Back,B-E01A_Bone_Silver - L-B.svg
B-E01B,Bone,Gold,L,Front,B-E01B_Bone_Gold - L-F.svg
B-E01B,Bone,Gold,L,Back,B-E01B_Bone_Gold - L-B.svg
B-E01C,Bone,RoseGold,L,Front,B-E01C_Bone_RoseGold - L-F.svg
B-E01C,Bone,RoseGold,L,Back,B-E01C_Bone_RoseGold - L-B.svg
B-E01D,Bone,Black,L,Front,B-E01D_Bone_Black - L-F.svg
B-E01D,Bone,Black,L,Back,B-E01D_Bone_Black - L-B.svg
B-E01A,Bone,Silver,L,Front,B-E01A_Bone_Silver - L-F.svg
B-E01A,Bone,Silver,L,Back,B-E01A_Bone_Silver - L-B.svg
B-E01B,Bone,Gold,L,Front,B-E01B_Bone_Gold - L-F.svg
B-E01B,Bone,Gold,L,Back,B-E01B_Bone_Gold - L-B.svg
B-E01C,Bone,RoseGold,L,Front,B-E01C_Bone_RoseGold - L-F.svg
B-E01C,Bone,RoseGold,L,Back,B-E01C_Bone_RoseGold - L-B.svg
B-E01D,Bone,Black,L,Front,B-E01D_Bone_Black - L-F.svg
B-E01D,Bone,Black,L,Back,B-E01D_Bone_Black - L-B.svg
B-E02A,Bone,Silver,S,Front,B-E02A_Bone_Silver - S-F.svg
B-E02A,Bone,Silver,S,Back,B-E02A_Bone_Silver - S-B.svg
B-G02B,Heart,Gold,S,Front,B-G02B_Heart_Gold - S-F.svg
B-E02B,Bone,Gold,S,Front,B-E02B_Bone_Gold - S-F.svg
B-G02C,Heart,RoseGold,S,Front,B-G02C_Heart_RoseGold - S-F.svg
B-E02C,Bone,RoseGold,S,Front,B-E02C_Bone_RoseGold - S-F.svg
B-G02D,Heart,Black,S,Front,B-G02D_Heart_Black - S-F.svg
B-E02D,Bone,Black,S,Front,B-E02D_Bone_Black - S-F.svg
B-E02B,Bone,Gold,S,Back,B-E02B_Bone_Gold - S-B.svg
B-E02C,Bone,RoseGold,S,Back,B-E02C_Bone_RoseGold - S-B.svg
B-E02D,Bone,Black,S,Back,B-E02D_Bone_Black - S-B.svg
B-G02A,Heart,Silver,S,Front,B-G02A_Heart_Silver - S-F.svg
B-E02A,Bone,Silver,S,Front,B-E02A_Bone_Silver - S-F.svg
B-E02A,Bone,Silver,S,Back,B-E02A_Bone_Silver - S-B.svg
B-G02B,Heart,Gold,S,Back,B-G02B_Heart_Gold - S-B.svg
B-E02B,Bone,Gold,S,Front,B-E02B_Bone_Gold - S-F.svg
B-G02C,Heart,RoseGold,S,Back,B-G02C_Heart_RoseGold - S-B.svg
B-E02C,Bone,RoseGold,S,Front,B-E02C_Bone_RoseGold - S-F.svg
B-G02D,Heart,Black,S,Back,B-G02D_Heart_Black - S-B.svg
B-E02D,Bone,Black,S,Front,B-E02D_Bone_Black - S-F.svg
B-E02B,Bone,Gold,S,Back,B-E02B_Bone_Gold - S-B.svg
B-E02C,Bone,RoseGold,S,Back,B-E02C_Bone_RoseGold - S-B.svg
B-E02D,Bone,Black,S,Back,B-E02D_Bone_Black - S-B.svg
B-G02A,Heart,Silver,S,Back,B-G02A_Heart_Silver - S-B.svg
